category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
Electronics|Accessories|MemoryCards|SecureDigitalCards|SecureDigitalCards,SecureDigitalCards,5,Electronics,Accessories,MemoryCards,SecureDigitalCards,,,,170
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles|BasicMobiles,BasicMobiles,5,Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,BasicMobiles,,,,171
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones|PCMicrophones,PCMicrophones,5,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,PCMicrophones,,,,172
Computers&Accessories|NetworkingDevices|NetworkingDevices,NetworkingDevices,3,Computers&Accessories,NetworkingDevices,,,,,,173
Computers&Accessories|Monitors|Monitors,Monitors,3,Computers&Accessories,Monitors,,,,,,174
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens|StylusPens,StylusPens,5,Electronics,Mobiles&Accessories,MobileAccessories,StylusPens,,,,175
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers|PCSpeakers,PCSpeakers,5,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,PCSpeakers,,,,176
Computers&Accessories|NetworkingDevices|DataCards&Dongles|DataCards&Dongles,DataCards&Dongles,4,Computers&Accessories,NetworkingDevices,DataCards&Dongles,,,,,177
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts|Mounts,Mounts,6,Electronics,HomeAudio,Accessories,SpeakerAccessories,Mounts,,,178
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors|ScreenProtectors",ScreenProtectors,6,Electronics,Mobiles&Accessories,MobileAccessories,"Maintenance,Upkeep&Repairs",ScreenProtectors,,,179
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes|Macro&RinglightFlashes,Macro&RinglightFlashes,5,Electronics,Cameras&Photography,Flashes,Macro&RinglightFlashes,,,,180
Electronics|Mobiles&Accessories|MobileAccessories|Décor|Décor,Décor,5,Electronics,Mobiles&Accessories,MobileAccessories,Décor,,,,181
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers|AirFryers,AirFryers,6,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DeepFatFryers,AirFryers,,,182
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallKitchenAppliances,SmallKitchenAppliances,4,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,,,,,183
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans|TableFans",TableFans,5,Home&Kitchen,"Heating,Cooling&AirQuality",Fans,TableFans,,,,184
"Electronics|Headphones,Earbuds&Accessories|Earpads|Earpads",Earpads,4,Electronics,"Headphones,Earbuds&Accessories",Earpads,,,,,185
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notebooks,WritingPads&Diaries","Notebooks,WritingPads&Diaries",6,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",,,186
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods|Tripods,Tripods,6,Electronics,Mobiles&Accessories,MobileAccessories,Photo&VideoAccessories,Tripods,,,187
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers|AirPurifiers&Ionizers,AirPurifiers&Ionizers,5,Car&Motorbike,CarAccessories,InteriorAccessories,AirPurifiers&Ionizers,,,,188
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts|Bedstand&DeskMounts,Bedstand&DeskMounts,6,Electronics,Mobiles&Accessories,MobileAccessories,Mounts,Bedstand&DeskMounts,,,189
